id,rate
E07000226,0.5841
E07000227,0.4854
E07000228,0.4691
E07000229,0.5299
E06000022,0.4215
E06000023,0.3827
E06000024,0.5217
E06000025,0.5268
E06000026,0.5994
E06000027,0.6316
E06000028,0.5488
E06000029,0.5817
E06000030,0.5466
E06000052,0.5652
E06000053,0.4361
E06000054,0.5249
E07000040,0.5411
E07000041,0.4472
E07000042,0.5334
E07000043,0.5704
E07000044,0.4715
E07000045,0.539
E07000046,0.6083
E07000047,0.532
E07000048,0.5883
E07000049,0.5762
E07000050,0.564
E07000051,0.5907
E07000052,0.5103
E07000053,0.6104
E07000078,0.4383
E07000079,0.489
E07000080,0.5858
E07000081,0.585
E07000082,0.4539
E07000083,0.5325
E07000187,0.4893
E07000188,0.612
E07000189,0.5725
E07000190,0.5292
E07000191,0.6059
GI,0.0409
W06000001,0.5094
W06000002,0.4195
W06000003,0.5398
W06000004,0.54
W06000005,0.5637
W06000006,0.5904
W06000008,0.4537
W06000009,0.5714
W06000010,0.5375
W06000011,0.5151
W06000012,0.5684
W06000013,0.5464
W06000014,0.4927
W06000015,0.3998
W06000016,0.537
W06000018,0.5763
W06000019,0.6203
W06000020,0.5978
W06000021,0.4956
W06000022,0.5599
W06000023,0.5374
W06000024,0.5644
E06000019,0.5922
E06000020,0.6322
E06000021,0.6936
E06000051,0.5687
E07000192,0.6886
E07000193,0.6321
E07000194,0.5881
E07000195,0.6304
E07000196,0.6485
E07000197,0.5599
E07000198,0.6473
E07000199,0.6747
E07000218,0.6688
E07000219,0.6601
E07000220,0.567
E07000221,0.5156
E07000222,0.4122
E07000234,0.5537
E07000235,0.5216
E07000236,0.6229
E07000237,0.5368
E07000238,0.5786
E07000239,0.6315
E08000025,0.5042
E08000026,0.556
E08000027,0.676
E08000028,0.6672
E08000029,0.5616
E08000030,0.6786
E08000031,0.6257
E06000010,0.6762
E06000011,0.604
E06000012,0.6987
E06000013,0.663
E06000014,0.4196
E07000163,0.5283
E07000164,0.5366
E07000165,0.4903
E07000166,0.5678
E07000167,0.5526
E07000168,0.6199
E07000169,0.5917
E08000016,0.6831
E08000017,0.6896
E08000018,0.6789
E08000019,0.5099
E08000032,0.5423
E08000033,0.5568
E08000034,0.5467
E08000035,0.4969
E08000036,0.6636
NORTH DOWN,0.4764
UPPER BANN,0.5262
EAST ANTRIM,0.5519
NORTH ANTRIM,0.6222
SOUTH DOWN,0.3276
MID ULSTER,0.3961
NEWRY AND ARMAGH,0.3706
WEST TYRONE,0.3315
BELFAST EAST,0.5194
BELFAST SOUTH,0.3051
STRANGFORD,0.5553
BELFAST WEST,0.2594
LAGAN VALLEY,0.5309
SOUTH ANTRIM,0.5064
BELFAST NORTH,0.4964
EAST LONDONDERRY,0.4797
FERMANAGH AND SOUTH TYRONE,0.4144
FOYLE,0.2174
GIBRALTAR,0.0004
